Cod_Febraban,Seg_Febraban,Nome_Convênio,CNPJ,Grade,Descricao_Conv,
0199,2,SAAE CATU,13800297000111,"Estendida, até 23:59",SANEAMENTO,
0253,2,SAAE IGUATU,7508138000145,"Estendida, até 23:59",SANEAMENTO,
0260,2,SAAE LIMOEIRO NORTE,7625932000179,"Estendida, até 23:59",SANEAMENTO,
0273,2,SAMAE IBIPORA,78079639000100,"Estendida, até 23:59",SANEAMENTO,
0285,2,SAAE CERQUILHO,50797752000101,"Estendida, até 23:59",SANEAMENTO,
0286,2,PARANAGUA SANEAMENTO,1691945000160,"Estendida, até 23:59",SANEAMENTO,
0292,2,SAAEB-BEBEDOURO,44405967000129,"Estendida, até 23:59",SANEAMENTO,
0304,2,SEMAE SJRIO PRETO,4691691000178,"Estendida, até 23:59",SANEAMENTO,
0315,2,SAAE IBITINGA,45321791000190,"Estendida, até 23:59",SANEAMENTO,
0330,2,SEMASA CARANGOLA,17726399000195,"Estendida, até 23:59",SANEAMENTO,
0336,2,SAAE MANHUACU,22050561000138,"Estendida, até 23:59",SANEAMENTO,
0338,2,SAAE SACRAMENTO,24334872000154,"Estendida, até 23:59",SANEAMENTO,
0349,2,DAEPA,20266755000140,"Estendida, até 23:59",SANEAMENTO,
0350,2,SAMAE JAGUAPITA,78262102000172,"Estendida, até 23:59",SANEAMENTO,
0354,2,SAAE TRES PONTAS,25269069000146,"Estendida, até 23:59",SANEAMENTO,
0357,2,SAMAE TIJUCAS,2396675000127,"Estendida, até 23:59",SANEAMENTO,
0362,2,SAAE GUANHAES,21250048000128,"Estendida, até 23:59",SANEAMENTO,
0364,2,NEPOMUCENO,2230481000157,"Estendida, até 23:59",SANEAMENTO,
0370,2,PROLAGOS,2382073000110,"Restrita, até 20:45",SANEAMENTO,
0372,2,SAAE BOCAIUVA,19116243000118,"Estendida, até 23:59",SANEAMENTO,
0384,2,PM QUATIS-AGUA,39560008000148,"Estendida, até 23:59",SANEAMENTO,
0389,2,SAAE CAETE,19893791000154,"Estendida, até 23:59",SANEAMENTO,
0418,2,DAE JOAO MONLEVADE,17058108000138,"Estendida, até 23:59",SANEAMENTO,
0425,2,LOUVEIRA-AGUA,46363933000144,"Estendida, até 23:59",SANEAMENTO,
0435,2,SAAE CASIMIRO ABREU,30419220000115,"Estendida, até 23:59",SANEAMENTO,
